Test Case,Result,Details,Test Type,Severity,Timestamp
Signup Page Loads,BUG,Signup page loaded but title doesn't indicate signup: Swag Labs,UI,Medium,2025-09-25 16:34:38
Required Fields Detection,BUG,No common signup form fields found on the page,UI,High,2025-09-25 16:36:39
Email Field Detection,BUG,No email field found on signup form,UI,High,2025-09-25 16:37:29
Password Field Detection,BUG,No password field found on signup form,UI,High,2025-09-25 16:38:19
Successful Signup Test,BUG,No form fields found to fill for signup test,UI,High,2025-09-25 16:40:20
Form Submission Validation,FAIL,"Error testing form submission validation: Message: invalid selector: An invalid or illegal selector was specified
  (Session info: chrome=140.0.7339.187); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidselectorexception
Stacktrace:
0   chromedriver                        0x0000000104cbf274 cxxbridge1$str$ptr + 2882596
1   chromedriver                        0x0000000104cb71a0 cxxbridge1$str$ptr + 2849616
2   chromedriver                        0x00000001047e1180 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 73420
3   chromedriver                        0x00000001047e6e38 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 97156
4   chromedriver                        0x00000001047e917c _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 106184
5   chromedriver                        0x00000001047e9224 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 106352
6   chromedriver                        0x0000000104828094 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 364000
7   chromedriver                        0x00000001048696c8 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 631828
8   chromedriver                        0x000000010481c188 _RNvCslE4myv9Sbr3_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 315092
9   chromedriver                        0x0000000104c82c54 cxxbridge1$str$ptr + 2635268
10  chromedriver                        0x0000000104c85e6c cxxbridge1$str$ptr + 2648092
11  chromedriver                        0x0000000104c645d4 cxxbridge1$str$ptr + 2510724
12  chromedriver                        0x0000000104c86718 cxxbridge1$str$ptr + 2650312
13  chromedriver                        0x0000000104c55d7c cxxbridge1$str$ptr + 2451244
14  chromedriver                        0x0000000104ca5dd4 cxxbridge1$str$ptr + 2779012
15  chromedriver                        0x0000000104ca5f54 cxxbridge1$str$ptr + 2779396
16  chromedriver                        0x0000000104cb6dec cxxbridge1$str$ptr + 2848668
17  libsystem_pthread.dylib             0x0000000189fefbc8 _pthread_start + 136
18  libsystem_pthread.dylib             0x0000000189feab80 thread_start + 8
",Form,High,2025-09-25 16:41:10
SauceDemo Empty Login,PASS,Login correctly requires username field,Form,Low,2025-09-25 16:41:13
SauceDemo Invalid Login,PASS,Login correctly rejected invalid credentials: Epic sadface: Username and password do not match any user in this service,Security,Low,2025-09-25 16:41:13
SauceDemo Login Test,PASS,Successfully logged in with standard_user credentials,Authentication,Low,2025-09-25 16:41:19
SauceDemo Login Test,FAIL,"Login failed - timeout waiting for elements: Message: 
",Authentication,High,2025-09-25 16:41:29
Homepage Navigation,PASS,Homepage loaded successfully. Title: Swag Labs,Navigation,Low,2025-09-25 16:41:33
